Note_number,Onset_time_in_sec,Offset_time_in_sec,Duration,Pitch,KeyPos_x,KeyPos_y,Onset_velocity,Offset_velocity
0,0.0,0.473958,0.473958,60.0,0,0,80.0,0
3,0.5,0.973958,0.473958,60.0,0,0,80.0,0
6,1.0,1.473958,0.473958,67.0,4,0,80.0,0
9,1.5,1.973958,0.473958,67.0,4,0,80.0,0
12,2.0,2.473958,0.473958,69.0,5,0,80.0,0
15,2.5,2.973958,0.473958,69.0,5,0,80.0,0
18,3.0,3.948958,0.948958,67.0,4,0,80.0,0
23,4.0,4.473958,0.473958,65.0,3,0,80.0,0
26,4.5,4.973958,0.473958,65.0,3,0,80.0,0
29,5.0,5.473958,0.473958,64.0,2,0,80.0,0
32,5.5,5.973958,0.473958,64.0,2,0,80.0,0
35,6.0,6.473958,0.473958,62.0,1,0,80.0,0
38,6.5,6.973958,0.473958,62.0,1,0,80.0,0
41,7.0,7.948958,0.948958,60.0,0,0,80.0,0
45,8.0,8.473958,0.473958,67.0,4,0,80.0,0
48,8.5,8.973958,0.473958,67.0,4,0,80.0,0
51,9.0,9.473958,0.473958,65.0,3,0,80.0,0
54,9.5,9.973958,0.473958,65.0,3,0,80.0,0
57,10.0,10.473958,0.473958,64.0,2,0,80.0,0
60,10.5,10.973958,0.473958,64.0,2,0,80.0,0
63,11.0,11.948958,0.948958,62.0,1,0,80.0,0
68,12.0,12.473958,0.473958,67.0,4,0,80.0,0
71,12.5,12.973958,0.473958,67.0,4,0,80.0,0
74,13.0,13.473958,0.473958,65.0,3,0,80.0,0
77,13.5,13.973958,0.473958,65.0,3,0,80.0,0
80,14.0,14.473958,0.473958,64.0,2,0,80.0,0
83,14.5,14.973958,0.473958,64.0,2,0,80.0,0
86,15.0,15.948958,0.948958,62.0,1,0,80.0,0
91,16.0,16.473958,0.473958,60.0,0,0,80.0,0
94,16.5,16.973958,0.473958,60.0,0,0,80.0,0
97,17.0,17.473958,0.473958,67.0,4,0,80.0,0
100,17.5,17.973958,0.473958,67.0,4,0,80.0,0
103,18.0,18.473958,0.473958,69.0,5,0,80.0,0
106,18.5,18.973958,0.473958,69.0,5,0,80.0,0
109,19.0,19.948958,0.948958,67.0,4,0,80.0,0
114,20.0,20.473958,0.473958,65.0,3,0,80.0,0
117,20.5,20.973958,0.473958,65.0,3,0,80.0,0
120,21.0,21.473958,0.473958,64.0,2,0,80.0,0
123,21.5,21.973958,0.473958,64.0,2,0,80.0,0
126,22.0,22.473958,0.473958,62.0,1,0,80.0,0
129,22.5,22.973958,0.473958,62.0,1,0,80.0,0
132,23.0,23.948958,0.948958,60.0,0,0,80.0,0
