Note_number,Onset_time_in_sec,Offset_time_in_sec,Duration,Pitch,KeyPos_x,KeyPos_y,Onset_velocity,Offset_velocity
0,1.8,2.08375,0.28375,65.0,3,0,87.0,0
1,2.1,2.38375,0.28375,67.0,4,0,87.0,0
2,2.4,2.96875,0.56875,69.0,5,0,87.0,0
3,2.4,2.68375,0.28375,53.0,-4,0,87.0,0
4,2.7,3.26875,0.56875,60.0,0,0,87.0,0
5,3.0,3.56875,0.56875,72.0,7,0,87.0,0
6,3.3,3.49875,0.19875,60.0,0,0,87.0,0
7,3.6,4.16875,0.56875,67.0,4,0,87.0,0
8,3.6,3.88375,0.28375,52.0,-5,0,87.0,0
9,3.9,4.46875,0.56875,60.0,0,0,87.0,0
10,4.2,4.76875,0.56875,72.0,7,0,87.0,0
11,4.5,4.69875,0.19875,60.0,0,0,87.0,0
12,4.8,5.93875,1.13875,65.0,3,0,87.0,0
13,4.8,5.08375,0.28375,50.0,-6,0,87.0,0
14,5.1,5.66875,0.56875,57.0,-2,0,87.0,0
15,5.7,5.89875,0.19875,57.0,-2,0,87.0,0
16,6.0,6.28375,0.28375,48.0,-7,0,87.0,0
17,6.3,6.86875,0.56875,57.0,-2,0,87.0,0
18,6.6,6.88375,0.28375,65.0,3,0,87.0,0
19,6.9,7.18375,0.28375,64.0,2,0,87.0,0
20,6.9,7.09875,0.19875,57.0,-2,0,87.0,0
21,7.2,7.76875,0.56875,62.0,1,0,87.0,0
22,7.2,7.48375,0.28375,46.0,-9,1,87.0,0
23,7.5,8.06875,0.56875,53.0,-4,0,87.0,0
24,7.8,8.36875,0.56875,69.0,5,0,87.0,0
25,8.1,8.29875,0.19875,53.0,-4,0,87.0,0
26,8.4,8.96875,0.56875,67.0,4,0,87.0,0
27,8.4,8.68375,0.28375,48.0,-7,0,87.0,0
28,8.7,9.26875,0.56875,55.0,-3,0,87.0,0
29,9.0,9.56875,0.56875,72.0,7,0,87.0,0
30,9.3,9.49875,0.19875,55.0,-3,0,87.0,0
31,9.6,10.73875,1.13875,69.0,5,0,87.0,0
32,9.6,9.88375,0.28375,53.0,-4,0,87.0,0
33,9.9,10.46875,0.56875,60.0,0,0,87.0,0
34,10.5,10.69875,0.19875,60.0,0,0,87.0,0
35,10.8,11.08375,0.28375,53.0,-4,0,87.0,0
36,11.1,11.66875,0.56875,60.0,0,0,87.0,0
37,11.4,11.68375,0.28375,65.0,3,0,87.0,0
38,11.7,11.98375,0.28375,67.0,4,0,87.0,0
39,11.7,11.89875,0.19875,60.0,0,0,87.0,0
40,12.0,12.56875,0.56875,69.0,5,0,87.0,0
41,12.0,12.28375,0.28375,53.0,-4,0,87.0,0
42,12.3,12.86875,0.56875,60.0,0,0,87.0,0
43,12.6,13.16875,0.56875,72.0,7,0,87.0,0
44,12.9,13.09875,0.19875,60.0,0,0,87.0,0
45,13.2,13.76875,0.56875,67.0,4,0,87.0,0
46,13.2,13.48375,0.28375,52.0,-5,0,87.0,0
47,13.5,14.06875,0.56875,60.0,0,0,87.0,0
48,13.8,14.36875,0.56875,64.0,2,0,87.0,0
49,14.1,14.29875,0.19875,60.0,0,0,87.0,0
50,14.4,15.53875,1.13875,65.0,3,0,87.0,0
51,14.4,14.68375,0.28375,50.0,-6,0,87.0,0
52,14.7,15.26875,0.56875,57.0,-2,0,87.0,0
53,15.3,15.49875,0.19875,57.0,-2,0,87.0,0
54,15.6,15.88375,0.28375,48.0,-7,0,87.0,0
55,15.9,16.46875,0.56875,57.0,-2,0,87.0,0
56,16.2,16.48375,0.28375,65.0,3,0,87.0,0
57,16.5,16.78375,0.28375,64.0,2,0,87.0,0
58,16.5,16.69875,0.19875,57.0,-2,0,87.0,0
59,16.8,17.36875,0.56875,62.0,1,0,87.0,0
60,16.8,17.08375,0.28375,46.0,-9,1,87.0,0
61,17.1,17.66875,0.56875,53.0,-4,0,87.0,0
62,17.4,17.96875,0.56875,69.0,5,0,87.0,0
63,17.7,17.89875,0.19875,53.0,-4,0,87.0,0
64,18.0,18.56875,0.56875,64.0,2,0,87.0,0
65,18.0,18.28375,0.28375,48.0,-7,0,87.0,0
66,18.3,18.86875,0.56875,55.0,-3,0,87.0,0
67,18.6,19.16875,0.56875,60.0,0,0,87.0,0
68,18.9,19.09875,0.19875,55.0,-3,0,87.0,0
69,19.2,20.33875,1.13875,62.0,1,0,87.0,0
70,19.2,19.48375,0.28375,50.0,-6,0,87.0,0
71,19.5,20.06875,0.56875,57.0,-2,0,87.0,0
