Note_number,Onset_time_in_sec,Offset_time_in_sec,Duration,Pitch,KeyPos_x,KeyPos_y,Onset_velocity,Offset_velocity
0,1.8,2.08375,0.28375,65.0,3,0,87.0,0
1,2.1,2.38375,0.28375,67.0,4,0,87.0,0
2,2.4,2.96875,0.56875,69.0,5,0,87.0,0
5,3.0,3.56875,0.56875,72.0,7,0,87.0,0
7,3.6,4.16875,0.56875,67.0,4,0,87.0,0
10,4.2,4.76875,0.56875,72.0,7,0,87.0,0
12,4.8,5.93875,1.13875,65.0,3,0,87.0,0
18,6.6,6.88375,0.28375,65.0,3,0,87.0,0
19,6.9,7.18375,0.28375,64.0,2,0,87.0,0
21,7.2,7.76875,0.56875,62.0,1,0,87.0,0
24,7.8,8.36875,0.56875,69.0,5,0,87.0,0
26,8.4,8.96875,0.56875,67.0,4,0,87.0,0
29,9.0,9.56875,0.56875,72.0,7,0,87.0,0
31,9.6,10.73875,1.13875,69.0,5,0,87.0,0
37,11.4,11.68375,0.28375,65.0,3,0,87.0,0
38,11.7,11.98375,0.28375,67.0,4,0,87.0,0
40,12.0,12.56875,0.56875,69.0,5,0,87.0,0
43,12.6,13.16875,0.56875,72.0,7,0,87.0,0
45,13.2,13.76875,0.56875,67.0,4,0,87.0,0
48,13.8,14.36875,0.56875,64.0,2,0,87.0,0
50,14.4,15.53875,1.13875,65.0,3,0,87.0,0
56,16.2,16.48375,0.28375,65.0,3,0,87.0,0
57,16.5,16.78375,0.28375,64.0,2,0,87.0,0
59,16.8,17.36875,0.56875,62.0,1,0,87.0,0
62,17.4,17.96875,0.56875,69.0,5,0,87.0,0
64,18.0,18.56875,0.56875,64.0,2,0,87.0,0
67,18.6,19.16875,0.56875,60.0,0,0,87.0,0
69,19.2,20.33875,1.13875,62.0,1,0,87.0,0
74,21.0,21.28375,0.28375,65.0,3,0,87.0,0
75,21.3,21.58375,0.28375,67.0,4,0,87.0,0
76,21.6,22.16875,0.56875,69.0,5,0,87.0,0
79,22.2,22.76875,0.56875,72.0,7,0,87.0,0
81,22.8,23.36875,0.56875,67.0,4,0,87.0,0
84,23.4,23.96875,0.56875,72.0,7,0,87.0,0
86,24.0,25.13875,1.13875,65.0,3,0,87.0,0
92,25.8,26.08375,0.28375,65.0,3,0,87.0,0
93,26.1,26.38375,0.28375,64.0,2,0,87.0,0
94,26.4,26.96875,0.56875,58.0,-2,1,87.0,0
95,26.4,26.96875,0.56875,62.0,1,0,87.0,0
98,27.0,27.56875,0.56875,69.0,5,0,87.0,0
100,27.6,28.16875,0.56875,64.0,2,0,87.0,0
101,27.6,28.16875,0.56875,67.0,4,0,87.0,0
104,28.2,28.76875,0.56875,72.0,7,0,87.0,0
106,28.8,29.4,0.6,60.0,0,0,87.0,0
107,28.8,29.93875,1.13875,69.0,5,0,87.0,0
114,30.6,30.88375,0.28375,65.0,3,0,87.0,0
116,30.9,31.18375,0.28375,67.0,4,0,87.0,0
118,31.2,31.76875,0.56875,65.0,3,0,87.0,0
119,31.2,31.76875,0.56875,69.0,5,0,87.0,0
122,31.8,32.36875,0.56875,72.0,7,0,87.0,0
125,32.4,32.96875,0.56875,64.0,2,0,87.0,0
126,32.4,32.96875,0.56875,67.0,4,0,87.0,0
129,33.0,33.56875,0.56875,64.0,2,0,87.0,0
132,33.6,33.9,0.3,57.0,-2,0,87.0,0
133,33.6,34.73875,1.13875,65.0,3,0,87.0,0
140,35.4,35.68375,0.28375,65.0,3,0,87.0,0
142,35.7,35.98375,0.28375,64.0,2,0,87.0,0
144,36.0,36.56875,0.56875,58.0,-2,1,87.0,0
145,36.0,36.56875,0.56875,62.0,1,0,87.0,0
148,36.6,37.16875,0.56875,69.0,5,0,87.0,0
151,37.2,37.76875,0.56875,60.0,0,0,87.0,0
152,37.2,37.76875,0.56875,64.0,2,0,87.0,0
155,37.8,38.36875,0.56875,60.0,0,0,87.0,0
158,38.4,39.53875,1.13875,62.0,1,0,87.0,0
164,40.2,40.48375,0.28375,65.0,3,0,87.0,0
165,40.5,40.78375,0.28375,64.0,2,0,87.0,0
166,40.8,41.36875,0.56875,58.0,-2,1,87.0,0
167,40.8,41.36875,0.56875,62.0,1,0,87.0,0
170,41.4,41.68375,0.28375,64.0,2,0,87.0,0
172,41.7,41.98375,0.28375,65.0,3,0,87.0,0
174,42.0,42.56875,0.56875,60.0,0,0,87.0,0
175,42.0,42.56875,0.56875,64.0,2,0,87.0,0
176,42.0,42.56875,0.56875,67.0,4,0,87.0,0
