Note_number,Onset_time_in_sec,Offset_time_in_sec,Duration,Pitch,KeyPos_x,KeyPos_y,Onset_velocity,Offset_velocity
1,0.0,1.898958,1.898958,48.0,-7,0,80.0,0
6,2.0,3.898958,1.898958,55.0,-3,0,80.0,0
11,4.0,5.898958,1.898958,47.0,-8,0,80.0,0
16,6.0,7.898958,1.898958,48.0,-7,0,80.0,0
20,8.0,8.948958,0.948958,48.0,-7,0,80.0,0
23,9.0,9.948958,0.948958,55.0,-3,0,80.0,0
26,10.0,10.948958,0.948958,50.0,-6,0,80.0,0
29,11.0,11.948958,0.948958,53.0,-4,0,80.0,0
32,12.0,12.948958,0.948958,55.0,-3,0,80.0,0
35,13.0,13.948958,0.948958,43.0,-10,0,80.0,0
38,14.0,15.898958,1.898958,48.0,-7,0,80.0,0
