Note_number,Onset_time_in_sec,Offset_time_in_sec,Duration,Pitch,KeyPos_x,KeyPos_y,Onset_velocity,Offset_velocity
0,0.0,0.473958,0.473958,67.0,4,0,80.0,0
2,0.5,0.973958,0.473958,65.0,3,0,80.0,0
3,1.0,1.473958,0.473958,64.0,2,0,80.0,0
4,1.5,1.973958,0.473958,62.0,1,0,80.0,0
5,2.0,2.473958,0.473958,64.0,2,0,80.0,0
7,2.5,2.973958,0.473958,65.0,3,0,80.0,0
8,3.0,3.473958,0.473958,67.0,4,0,80.0,0
9,3.5,3.973958,0.473958,64.0,2,0,80.0,0
10,4.0,4.473958,0.473958,62.0,1,0,80.0,0
12,4.5,4.973958,0.473958,64.0,2,0,80.0,0
13,5.0,5.473958,0.473958,65.0,3,0,80.0,0
14,5.5,5.973958,0.473958,62.0,1,0,80.0,0
15,6.0,6.473958,0.473958,64.0,2,0,80.0,0
17,6.5,6.973958,0.473958,65.0,3,0,80.0,0
18,7.0,7.948958,0.948958,67.0,4,0,80.0,0
19,8.0,8.473958,0.473958,79.0,11,0,80.0,0
21,8.5,8.973958,0.473958,77.0,10,0,80.0,0
22,9.0,9.473958,0.473958,76.0,9,0,80.0,0
24,9.5,9.973958,0.473958,79.0,11,0,80.0,0
25,10.0,10.473958,0.473958,77.0,10,0,80.0,0
27,10.5,10.973958,0.473958,76.0,9,0,80.0,0
28,11.0,11.473958,0.473958,74.0,8,0,80.0,0
30,11.5,11.973958,0.473958,77.0,10,0,80.0,0
31,12.0,12.473958,0.473958,76.0,9,0,80.0,0
33,12.5,12.973958,0.473958,79.0,11,0,80.0,0
34,13.0,13.473958,0.473958,77.0,10,0,80.0,0
36,13.5,13.973958,0.473958,74.0,8,0,80.0,0
37,14.0,14.473958,0.473958,76.0,9,0,80.0,0
39,14.5,14.973958,0.473958,74.0,8,0,80.0,0
40,15.0,15.948958,0.948958,72.0,7,0,80.0,0
